Gender,Class year,What type of financial aid do you receive from Brown?,Are you currently on a varsity sports team?,How would you describe your sexual orientation?,Race/ethnicity (check all that apply),Concentration area(s):,"Are you a legacy student (i.e. you have a parent, grandparent or sibling who attended Brown)?",Do you identify as a first-generation college student?,Were you a domestic or international applicant when you applied to Brown?,"Are you involved with a Greek life organization? (sorority of fraternity, NOT program housing) ",Do you live on or off campus?,1. Do you approve or disapprove of the way Christina Paxson is handling her job as the president of the University?,2. Do you approve or disapprove of the way the Undergraduate Council of Students is handling its job?,"3. In classes you have taken at the University, how effective or ineffective were teaching assistants in facilitating your understanding of course materials?","4. If the 2020 U.S. Presidential Election were held today, which candidate would you vote for?","5. In the past year at Brown, which types of parties have you attended? (Select all that apply)",6. What is your preferred method of notetaking in class?,"7. During a typical class, about how long do you pay full attention to the lecture?","8. How often do you meet with an academic advisor? (e.g. department advisor, Meiklejohn peer advisor, first-year advisor, sophomore advisor, etc.)",9. Do you approve or disapprove of the UniversityÕs requirement that all undergraduates live in on-campus housing for their first six semesters (with the exception of the off campus permission lottery for juniors)?,10. Which of the following dating apps have you used? (Select all that apply),"11. How often do you use barrier methods (e.g., condoms, dental dams)  to protect against Sexually Transmitted Infections (STIs) during oral and/or penetrative sexual intercourse?","12. How often do you use barrier methods (e.g. condoms, dental dams) and/or contraceptives (e.g. birth control pills, IUDs)  to prevent pregnancy during vaginal sexual intercourse?"
Female,Senior,None,No,Heterosexual,Asian,Physical sciences (incl. math and CS),No,No,International,No,Off campus,Somewhat approve,Somewhat approve,Extremely effective,I am ineligible to vote,"University-recognized Greek Life, Student organization event, Small Victories (SV) event, Dormitory party, Graduate Center Bar",Handwriting on paper,Half of the class,A few times per semester,Strongly disapprove,I do not use dating apps,I do not engage in oral or penetrative sexual intercourse,I do not engage in vaginal sexual intercourse
Female,First-year,None,No,Bisexual,White,"Humanities/arts, Physical sciences (incl. math and CS)",No,No,Domestic,No,On campus,Somewhat approve,No opinion,Somewhat effective,Bernie Sanders,"University-recognized Greek Life, Student organization event, Small Victories (SV) event, Dormitory party, Off-campus house party",Handwriting on paper,More than half of the class,Once per semester,Somewhat disapprove,"Bumble, HER, Tinder",Most of the time,Always
Male,First-year,"Grants, covering some costs",No,Heterosexual,White,Humanities/arts,No,No,Domestic,No,On campus,Strongly approve,Somewhat disapprove,Somewhat ineffective,Joe Biden,"Off-campus/unrecognized Greek Life, Student organization event, Dormitory party",Handwriting on paper,The entire class,A few times per semester,Somewhat disapprove,I do not use dating apps,Always,Always
Female,Sophomore,"Grants, covering all costs",No,Other,Hispanic,"Humanities/arts, Social sciences (not incl. BEO or econ)",No,Yes,Domestic,Yes,On campus,Somewhat disapprove,Somewhat disapprove,Extremely effective,Bernie Sanders,"University-recognized Greek Life, Student organization event, Dormitory party",Typing on a computer,More than half of the class,A few times per semester,Somewhat approve,Bumble,I do not engage in oral or penetrative sexual intercourse,I do not engage in vaginal sexual intercourse
Female,First-year,"Grants, covering some costs",No,Heterosexual,White,Social sciences (not incl. BEO or econ),Yes,No,Domestic,No,On campus,Somewhat approve,Somewhat approve,Somewhat effective,Bernie Sanders,"University-recognized Greek Life, Off-campus/unrecognized Greek Life, Student organization event, Small Victories (SV) event, Dormitory party, Whiskey Republic",Handwriting on paper,More than half of the class,Once per semester,Somewhat disapprove,I do not use dating apps,I do not engage in oral or penetrative sexual intercourse,I do not engage in vaginal sexual intercourse
Female,First-year,None,No,Bisexual,White,Physical sciences (incl. math and CS),Yes,No,Domestic,No,On campus,Somewhat disapprove,Somewhat disapprove,Somewhat effective,Bernie Sanders,"University-recognized Greek Life, Off-campus/unrecognized Greek Life, Student organization event, Small Victories (SV) event, Dormitory party, Off-campus house party, Varsity sports house, Providence/downtown bars or clubs",Handwriting on a tablet (e.g. iPad with stylus),The entire class,A few times per semester,Strongly disapprove,I do not use dating apps,Never,Always
Female,First-year,None,Yes,Heterosexual,White,Physical sciences (incl. math and CS),Yes,No,Domestic,No,On campus,Somewhat approve,No opinion,Somewhat effective,Bernie Sanders,"University-recognized Greek Life, Off-campus/unrecognized Greek Life, Small Victories (SV) event, Dormitory party, Off-campus house party, Varsity sports house, Providence/downtown bars or clubs",Handwriting on paper,The entire class,A few times per semester,Somewhat disapprove,I do not use dating apps,I do not engage in oral or penetrative sexual intercourse,I do not engage in vaginal sexual intercourse
Male,Senior,"Grants, covering some costs",No,Heterosexual,White,Social sciences (not incl. BEO or econ),No,No,Domestic,No,On campus,Strongly disapprove,No opinion,Somewhat effective,Bernie Sanders,Student organization event,I do not usually take notes,More than half of the class,Never,No opinion,I do not use dating apps,I do not engage in oral or penetrative sexual intercourse,I do not engage in vaginal sexual intercourse
Male,Senior,None,No,Heterosexual,Asian,"Humanities/arts, Physical sciences (incl. math and CS)",Yes,No,International,No,On campus,Somewhat approve,No opinion,Extremely effective,I am ineligible to vote,I do not attend parties,Handwriting on paper,Less than half of the class,Never,Strongly disapprove,I do not use dating apps,I do not engage in oral or penetrative sexual intercourse,I do not engage in vaginal sexual intercourse
Female,Junior,None,No,Heterosexual,Asian,Life sciences,No,No,Domestic,No,On campus,Somewhat disapprove,Somewhat approve,Somewhat effective,Bernie Sanders,"University-recognized Greek Life, Off-campus/unrecognized Greek Life, Student organization event, Dormitory party, Off-campus house party, Varsity sports house, Providence/downtown bars or clubs",Typing on a computer,Half of the class,Once per semester,Somewhat approve,I do not use dating apps,I do not engage in oral or penetrative sexual intercourse,I do not engage in vaginal sexual intercourse
Female,Senior,None,No,Heterosexual,Asian,"Physical sciences (incl. math and CS), Social sciences (not incl. BEO or econ)",No,No,International,No,On campus,Somewhat disapprove,No opinion,Somewhat effective,I am ineligible to vote,"Student organization event, Dormitory party, Off-campus house party, Graduate Center Bar",Typing on a computer,More than half of the class,A few times per semester,Somewhat disapprove,I do not use dating apps,Most of the time,Always
Female,Sophomore,"Grants, covering some costs",No,Heterosexual,Black,"Humanities/arts, Social sciences (not incl. BEO or econ)",No,No,Domestic,No,On campus,No opinion,No opinion,Somewhat effective,I am unsure,"University-recognized Greek Life, Student organization event, Dormitory party, Off-campus house party, Providence/downtown bars or clubs, Whiskey Republic, Other",I do not usually take notes,Less than half of the class,Once per semester,No opinion,"Bumble, Tinder",Sometimes,Always
Female,Sophomore,None,No,Heterosexual,Asian,Business (BEO or econ),No,No,Domestic,Yes,On campus,Somewhat approve,Strongly approve,Somewhat effective,Bernie Sanders,"University-recognized Greek Life, Off-campus/unrecognized Greek Life, Student organization event, Small Victories (SV) event, Dormitory party, Off-campus house party, Varsity sports house, Providence/downtown bars or clubs",Handwriting on a tablet (e.g. iPad with stylus),More than half of the class,A few times per semester,Somewhat approve,"Bumble, Hinge",I do not engage in oral or penetrative sexual intercourse,I do not engage in vaginal sexual intercourse
Female,First-year,None,No,Heterosexual,Other,Life sciences,No,No,Domestic,No,On campus,No opinion,No opinion,Extremely effective,Other,I do not attend parties,Handwriting on paper,More than half of the class,A few times per semester,Strongly disapprove,I do not use dating apps,I do not engage in oral or penetrative sexual intercourse,I do not engage in vaginal sexual intercourse
Male,Senior,"Grants, covering some costs",No,Heterosexual,White,Physical sciences (incl. math and CS),Yes,No,Domestic,No,Off campus,Somewhat approve,Somewhat approve,Somewhat effective,Bernie Sanders,"University-recognized Greek Life, Off-campus/unrecognized Greek Life, Student organization event, Dormitory party, Off-campus house party, Graduate Center Bar",Handwriting on paper,Half of the class,Once per semester,Strongly disapprove,"Bumble, Tinder",Most of the time,Always
Female,Sophomore,"Grants, covering all costs",No,Other,Black,"Humanities/arts, Physical sciences (incl. math and CS)",No,No,Domestic,No,On campus,Strongly disapprove,Somewhat approve,Extremely effective,Bernie Sanders,"Student organization event, Dormitory party, Off-campus house party, Varsity sports house",Handwriting on paper,More than half of the class,A few times per semester,Somewhat disapprove,Tinder,I do not engage in oral or penetrative sexual intercourse,I do not engage in vaginal sexual intercourse
Female,First-year,None,No,Heterosexual,Asian,Humanities/arts,No,No,International,No,On campus,Somewhat approve,Somewhat approve,Somewhat effective,I am ineligible to vote,"Student organization event, Dormitory party, Off-campus house party",Typing on a computer,More than half of the class,A few times per month,Somewhat approve,I do not use dating apps,I do not engage in oral or penetrative sexual intercourse,I do not engage in vaginal sexual intercourse
Male,Junior,None,No,Heterosexual,Asian,Life sciences,No,No,Domestic,No,On campus,Somewhat approve,Somewhat approve,Somewhat effective,I am unsure,"University-recognized Greek Life, Small Victories (SV) event, Dormitory party, Off-campus house party, Graduate Center Bar, Other",Handwriting on a tablet (e.g. iPad with stylus),Half of the class,A few times per month,Somewhat disapprove,I do not use dating apps,I do not engage in oral or penetrative sexual intercourse,I do not engage in vaginal sexual intercourse
Male,Junior,None,No,Heterosexual,Asian,Physical sciences (incl. math and CS),No,No,International,No,Off campus,Somewhat approve,Somewhat approve,Somewhat effective,I am ineligible to vote,I do not attend parties,Handwriting on a tablet (e.g. iPad with stylus),More than half of the class,Once per year,Strongly disapprove,I do not use dating apps,I do not engage in oral or penetrative sexual intercourse,I do not engage in vaginal sexual intercourse
Female,First-year,"Grants, covering some costs",No,Bisexual,Black,"Humanities/arts, Physical sciences (incl. math and CS)",No,No,Domestic,No,On campus,Somewhat approve,Somewhat approve,Somewhat effective,Bernie Sanders,I do not attend parties,Handwriting on paper,More than half of the class,A few times per semester,No opinion,I do not use dating apps,I do not engage in oral or penetrative sexual intercourse,I do not engage in vaginal sexual intercourse
Female,Senior,"Grants, covering some costs",No,Heterosexual,"White, Hispanic",Life sciences,Yes,No,Domestic,No,Off campus,Strongly disapprove,Somewhat approve,Extremely effective,Bernie Sanders,"University-recognized Greek Life, Off-campus/unrecognized Greek Life, Student organization event, Small Victories (SV) event, Dormitory party, Off-campus house party, Varsity sports house, Providence/downtown bars or clubs, Graduate Center Bar",Handwriting on paper,More than half of the class,A few times per semester,Strongly disapprove,Tinder,Most of the time,I do not engage in vaginal sexual intercourse
Male,Sophomore,"Grants, covering all costs",No,Heterosexual,White,"Life sciences, Physical sciences (incl. math and CS)",No,Yes,Domestic,No,On campus,Somewhat approve,Strongly disapprove,Somewhat effective,Bernie Sanders,"Dormitory party, Varsity sports house",Handwriting on paper,The entire class,A few times per semester,No opinion,"Bumble, Tinder",Never,Always
Male,Senior,"Grants, covering all costs",Yes,Heterosexual,Asian,Life sciences,No,No,Domestic,No,On campus,No opinion,Strongly approve,Somewhat effective,I am unsure,"Off-campus house party, Varsity sports house, Graduate Center Bar",Handwriting on paper,The entire class,Once per year,Strongly disapprove,I do not use dating apps,Always,Always
Female,Senior,None,No,Bisexual,Asian,Physical sciences (incl. math and CS),No,No,Domestic,No,Off campus,Somewhat disapprove,No opinion,Somewhat effective,Bernie Sanders,"University-recognized Greek Life, Off-campus/unrecognized Greek Life, Student organization event, Dormitory party, Off-campus house party, Varsity sports house, Graduate Center Bar",Handwriting on paper,The entire class,Never,Strongly disapprove,Tinder,Never,Always
Male,Senior,"Grants, covering some costs",No,Heterosexual,Asian,Physical sciences (incl. math and CS),No,No,Domestic,No,Off campus,Somewhat disapprove,No opinion,Somewhat effective,Bernie Sanders,"Dormitory party, Off-campus house party, Graduate Center Bar",Handwriting on paper,Less than half of the class,A few times per month,Strongly disapprove,I do not use dating apps,I do not engage in oral or penetrative sexual intercourse,I do not engage in vaginal sexual intercourse
Male,Sophomore,"Grants, covering some costs",No,Heterosexual,White,Physical sciences (incl. math and CS),No,No,Domestic,No,On campus,Somewhat approve,No opinion,Somewhat effective,Bernie Sanders,Dormitory party,Handwriting on paper,The entire class,A few times per semester,Somewhat disapprove,Tinder,Rarely,Never
Female,Sophomore,"Grants, covering some costs",No,Bisexual,White,Humanities/arts,No,Yes,Domestic,No,Off campus,Strongly disapprove,Somewhat approve,Somewhat effective,Bernie Sanders,"University-recognized Greek Life, Off-campus/unrecognized Greek Life, Student organization event, Small Victories (SV) event, Dormitory party, Off-campus house party, Providence/downtown bars or clubs, Whiskey Republic",Handwriting on paper,More than half of the class,A few times per month,Strongly disapprove,Tinder,Sometimes,Always
Female,Senior,"Grants, covering some costs",No,Bisexual,Black,Social sciences (not incl. BEO or econ),No,Yes,International,No,Off campus,Somewhat disapprove,Somewhat approve,Somewhat effective,Bernie Sanders,Other,Handwriting on paper,More than half of the class,A few times per month,Somewhat disapprove,I do not use dating apps,Rarely,Rarely
Female,Sophomore,None,No,Other,"White, Black","Physical sciences (incl. math and CS), Social sciences (not incl. BEO or econ)",No,No,Domestic,No,On campus,Somewhat disapprove,Somewhat approve,Extremely effective,Bernie Sanders,I do not attend parties,Handwriting on paper,The entire class,A few times per semester,Somewhat disapprove,I do not use dating apps,I do not engage in oral or penetrative sexual intercourse,I do not engage in vaginal sexual intercourse
Male,Sophomore,None,No,Heterosexual,White,Humanities/arts,Yes,No,Domestic,No,On campus,Strongly approve,Somewhat disapprove,Somewhat effective,Joe Biden,Other,Handwriting on paper,More than half of the class,A few times per month,Somewhat approve,I do not use dating apps,I do not engage in oral or penetrative sexual intercourse,I do not engage in vaginal sexual intercourse
Male,First-year,None,No,Heterosexual,White,Physical sciences (incl. math and CS),No,No,Domestic,No,Off campus,No opinion,No opinion,Somewhat ineffective,I am unsure,"University-recognized Greek Life, Off-campus/unrecognized Greek Life, Student organization event, Dormitory party, Varsity sports house, Providence/downtown bars or clubs",Typing on a computer,None of the class,Once per year,Somewhat approve,I do not use dating apps,Most of the time,Most of the time
Male,Sophomore,None,No,Heterosexual,White,"Humanities/arts, Life sciences",Yes,No,International,No,On campus,Somewhat approve,No opinion,Somewhat effective,Joe Biden,"Off-campus/unrecognized Greek Life, Student organization event, Small Victories (SV) event, Dormitory party, Off-campus house party, Providence/downtown bars or clubs",Handwriting on a tablet (e.g. iPad with stylus),More than half of the class,A few times per semester,Somewhat disapprove,I do not use dating apps,Always,Always
Male,Sophomore,"Grants, covering all costs",No,Heterosexual,Hispanic,"Physical sciences (incl. math and CS), Business (BEO or econ)",No,Yes,Domestic,Yes,On campus,Somewhat approve,No opinion,Extremely effective,Joe Biden,I do not attend parties,Handwriting on paper,More than half of the class,A few times per semester,Somewhat disapprove,I do not use dating apps,Always,Always
Female,First-year,"Grants, covering some costs",No,Heterosexual,Black,Humanities/arts,No,No,Domestic,No,On campus,Somewhat disapprove,Somewhat approve,Somewhat effective,Bernie Sanders,"Dormitory party, Varsity sports house",Handwriting on paper,The entire class,A few times per semester,Strongly disapprove,I do not use dating apps,I do not engage in oral or penetrative sexual intercourse,I do not engage in vaginal sexual intercourse
Female,Sophomore,"Grants, covering some costs",No,Bisexual,"White, Other",Humanities/arts,No,Yes,Domestic,No,On campus,Somewhat disapprove,Strongly approve,Extremely effective,Bernie Sanders,"University-recognized Greek Life, Off-campus/unrecognized Greek Life, Small Victories (SV) event, Off-campus house party",Typing on a computer,More than half of the class,A few times per semester,Somewhat approve,"Bumble, Hinge, Tinder",Always,Always
Female,Sophomore,"Grants, covering some costs",No,Bisexual,White,Social sciences (not incl. BEO or econ),No,No,Domestic,No,On campus,Somewhat disapprove,No opinion,Somewhat effective,Bernie Sanders,"University-recognized Greek Life, Student organization event, Dormitory party, Off-campus house party, Other",Typing on a computer,Half of the class,A few times per semester,Somewhat disapprove,"Bumble, Tinder",Most of the time,Always
Male,Sophomore,"Grants, covering some costs",No,Heterosexual,Asian,Physical sciences (incl. math and CS),No,No,Domestic,Yes,On campus,Strongly approve,No opinion,Extremely effective,Donald Trump,Other,I do not have a preference,More than half of the class,Never,Strongly approve,I do not use dating apps,Rarely,Rarely
Male,First-year,"Grants, covering some costs",No,Heterosexual,White,"Life sciences, Physical sciences (incl. math and CS)",No,No,Domestic,No,On campus,Somewhat approve,Strongly approve,Somewhat effective,I am unsure,"Student organization event, Dormitory party, Off-campus house party, Varsity sports house",Handwriting on paper,The entire class,Once per semester,Strongly approve,"Bumble, Tinder",Sometimes,Always
Male,Junior,"Grants, covering some costs",No,Heterosexual,White,Business (BEO or econ),No,No,Domestic,No,On campus,Strongly approve,Somewhat approve,Extremely effective,Joe Biden,"Off-campus/unrecognized Greek Life, Small Victories (SV) event, Off-campus house party, Varsity sports house",Handwriting on paper,More than half of the class,Once per semester,Somewhat approve,Tinder,Never,Always
Male,Senior,None,No,Heterosexual,White,Social sciences (not incl. BEO or econ),Yes,No,Domestic,No,Off campus,No opinion,No opinion,Extremely effective,Bernie Sanders,"University-recognized Greek Life, Off-campus/unrecognized Greek Life, Student organization event, Off-campus house party, Providence/downtown bars or clubs, Graduate Center Bar",Handwriting on paper,The entire class,A few times per month,Somewhat disapprove,I do not use dating apps,Sometimes,Sometimes
Female,Junior,"Grants, covering some costs",No,Heterosexual,"White, Other","Humanities/arts, Life sciences",No,No,Domestic,No,On campus,Strongly disapprove,Somewhat approve,Somewhat effective,Bernie Sanders,"Student organization event, Dormitory party, Off-campus house party, Providence/downtown bars or clubs",Handwriting on paper,More than half of the class,A few times per semester,Somewhat disapprove,"Bumble, Tinder",Most of the time,I do not engage in vaginal sexual intercourse
Female,Senior,None,No,Bisexual,Asian,Physical sciences (incl. math and CS),No,Yes,International,No,Off campus,Somewhat approve,No opinion,Extremely effective,I am ineligible to vote,"Student organization event, Off-campus house party, Graduate Center Bar",Handwriting on paper,More than half of the class,A few times per month,Strongly disapprove,I do not use dating apps,Always,Always
Male,Sophomore,"Grants, covering some costs",Yes,Heterosexual,"White, Asian",Business (BEO or econ),No,No,Domestic,No,On campus,Somewhat disapprove,Somewhat approve,Somewhat effective,Bernie Sanders,"Student organization event, Small Victories (SV) event, Dormitory party, Off-campus house party, Varsity sports house, Providence/downtown bars or clubs, Whiskey Republic",Handwriting on paper,Half of the class,Once per semester,Strongly disapprove,Tinder,Never,Sometimes
Male,Junior,None,No,Gay,Hispanic,Life sciences,No,No,International,No,On campus,Somewhat approve,Strongly approve,Extremely effective,Joe Biden,"University-recognized Greek Life, Student organization event, Small Victories (SV) event, Dormitory party, Off-campus house party, Varsity sports house, Providence/downtown bars or clubs",Handwriting on paper,More than half of the class,Once per semester,Strongly disapprove,"Bumble, Grindr, Hinge, Tinder",Most of the time,Never
Female,Senior,"Grants, covering some costs",No,Heterosexual,Hispanic,Social sciences (not incl. BEO or econ),No,Yes,Domestic,No,Off campus,No opinion,No opinion,Somewhat effective,I am unsure,"Student organization event, Providence/downtown bars or clubs, Graduate Center Bar, Whiskey Republic",Typing on a computer,More than half of the class,Once per semester,Somewhat approve,I do not use dating apps,Most of the time,Most of the time
Female,Sophomore,"Grants, covering some costs",No,Heterosexual,Hispanic,Life sciences,No,No,Domestic,No,On campus,Strongly approve,Strongly approve,Extremely effective,Bernie Sanders,"University-recognized Greek Life, Student organization event, Dormitory party, Off-campus house party, Varsity sports house, Providence/downtown bars or clubs, Whiskey Republic",Handwriting on paper,The entire class,A few times per semester,Somewhat disapprove,I do not use dating apps,Sometimes,Always
Male,Sophomore,None,No,Bisexual,Asian,Humanities/arts,No,No,International,No,On campus,No opinion,No opinion,Somewhat ineffective,I am ineligible to vote,"University-recognized Greek Life, Small Victories (SV) event, Dormitory party, Off-campus house party",Typing on a computer,Half of the class,Once per semester,Somewhat approve,Bumble,Never,Most of the time
Male,Sophomore,"Grants, covering some costs",No,Heterosexual,White,Life sciences,No,No,Domestic,No,On campus,No opinion,No opinion,Somewhat effective,Joe Biden,"Off-campus/unrecognized Greek Life, Small Victories (SV) event, Dormitory party, Varsity sports house, Whiskey Republic",Handwriting on paper,More than half of the class,A few times per semester,Somewhat approve,Tinder,Most of the time,Most of the time
Female,Junior,None,No,Heterosexual,White,Physical sciences (incl. math and CS),Yes,No,Domestic,No,On campus,Somewhat approve,Somewhat approve,Somewhat effective,Bernie Sanders,"University-recognized Greek Life, Off-campus/unrecognized Greek Life, Student organization event, Small Victories (SV) event, Dormitory party, Off-campus house party, Varsity sports house, Providence/downtown bars or clubs",Handwriting on paper,More than half of the class,A few times per month,Somewhat disapprove,Tinder,Rarely,Always
Female,Senior,None,No,Heterosexual,Asian,"Humanities/arts, Life sciences",No,No,Domestic,No,Off campus,Somewhat approve,Strongly approve,Somewhat effective,Bernie Sanders,"Student organization event, Off-campus house party, Providence/downtown bars or clubs, Graduate Center Bar",Typing on a computer,Half of the class,Once per semester,Somewhat disapprove,"Bumble, Hinge, Tinder",Most of the time,Always
Male,Senior,None,No,Bisexual,White,Humanities/arts,No,No,Domestic,No,Off campus,Strongly disapprove,Somewhat approve,Extremely effective,Bernie Sanders,"University-recognized Greek Life, Student organization event, Dormitory party, Off-campus house party, Varsity sports house, Graduate Center Bar",Handwriting on paper,Half of the class,Never,Strongly approve,I do not use dating apps,Never,Rarely
Female,First-year,None,No,Heterosexual,"White, Asian","Humanities/arts, Physical sciences (incl. math and CS)",No,Yes,Domestic,No,On campus,Strongly disapprove,Somewhat approve,Somewhat effective,Bernie Sanders,I do not attend parties,Handwriting on a tablet (e.g. iPad with stylus),More than half of the class,A few times per semester,Somewhat disapprove,I do not use dating apps,I do not engage in oral or penetrative sexual intercourse,I do not engage in vaginal sexual intercourse
Male,First-year,None,No,Heterosexual,White,"Physical sciences (incl. math and CS), Social sciences (not incl. BEO or econ)",No,No,Domestic,No,On campus,No opinion,No opinion,Somewhat effective,Joe Biden,"Student organization event, Dormitory party, Varsity sports house",Typing on a computer,The entire class,Once per semester,Somewhat approve,I do not use dating apps,I do not engage in oral or penetrative sexual intercourse,I do not engage in vaginal sexual intercourse
Female,First-year,None,No,Heterosexual,Asian,"Humanities/arts, Physical sciences (incl. math and CS), Business (BEO or econ)",No,No,International,No,On campus,No opinion,No opinion,Somewhat effective,I am unsure,Student organization event,Handwriting on a tablet (e.g. iPad with stylus),The entire class,Once per semester,Somewhat approve,I do not use dating apps,I do not engage in oral or penetrative sexual intercourse,I do not engage in vaginal sexual intercourse
Female,Junior,"Grants, covering all costs",No,Heterosexual,Black,Humanities/arts,No,Yes,Domestic,No,On campus,Somewhat disapprove,Strongly approve,Somewhat ineffective,Bernie Sanders,"Student organization event, Dormitory party, Off-campus house party",Typing on a computer,Half of the class,Never,Somewhat disapprove,I do not use dating apps,Rarely,Sometimes
Male,First-year,None,No,Heterosexual,White,Humanities/arts,No,No,Domestic,No,On campus,No opinion,No opinion,Somewhat effective,Joe Biden,"University-recognized Greek Life, Off-campus/unrecognized Greek Life, Student organization event, Small Victories (SV) event, Dormitory party, Varsity sports house, Providence/downtown bars or clubs",Handwriting on paper,The entire class,Once per semester,Somewhat approve,I do not use dating apps,Most of the time,Most of the time
Male,Sophomore,"Grants, covering some costs",No,Heterosexual,Asian,Life sciences,No,No,Domestic,No,On campus,Somewhat approve,No opinion,Somewhat effective,I am unsure,Dormitory party,Handwriting on a tablet (e.g. iPad with stylus),More than half of the class,A few times per semester,Somewhat disapprove,I do not use dating apps,Always,Always
Male,Sophomore,"Grants, covering some costs",No,Heterosexual,White,Physical sciences (incl. math and CS),No,No,Domestic,No,On campus,Somewhat approve,Somewhat approve,Somewhat effective,Joe Biden,"University-recognized Greek Life, Off-campus/unrecognized Greek Life, Student organization event, Small Victories (SV) event, Dormitory party, Off-campus house party, Varsity sports house, Providence/downtown bars or clubs",Handwriting on paper,More than half of the class,A few times per semester,Somewhat approve,"Bumble, Tinder",Sometimes,Always
Female,First-year,"Grants, covering some costs",No,Heterosexual,Asian,Physical sciences (incl. math and CS),No,No,Domestic,No,On campus,Somewhat disapprove,Strongly approve,Somewhat effective,Bernie Sanders,"Student organization event, Small Victories (SV) event, Providence/downtown bars or clubs",Handwriting on a tablet (e.g. iPad with stylus),More than half of the class,A few times per semester,Somewhat disapprove,I do not use dating apps,Always,Always
Male,First-year,None,No,Heterosexual,Asian,Physical sciences (incl. math and CS),Yes,No,Domestic,No,On campus,Somewhat disapprove,Strongly approve,Extremely effective,Bernie Sanders,"University-recognized Greek Life, Student organization event, Small Victories (SV) event, Dormitory party, Varsity sports house, Providence/downtown bars or clubs",Handwriting on a tablet (e.g. iPad with stylus),More than half of the class,A few times per semester,Somewhat approve,I do not use dating apps,I do not engage in oral or penetrative sexual intercourse,I do not engage in vaginal sexual intercourse
Female,Sophomore,"Grants, covering all costs",No,Heterosexual,Asian,Physical sciences (incl. math and CS),No,No,International,No,On campus,No opinion,Somewhat approve,Extremely effective,Bernie Sanders,I do not attend parties,Handwriting on paper,More than half of the class,Once per semester,Somewhat disapprove,I do not use dating apps,I do not engage in oral or penetrative sexual intercourse,I do not engage in vaginal sexual intercourse
Female,First-year,"Grants, covering some costs",No,Heterosexual,White,Physical sciences (incl. math and CS),No,No,Domestic,No,On campus,No opinion,Somewhat approve,Somewhat effective,Bernie Sanders,"Student organization event, Dormitory party, Off-campus house party",Handwriting on paper,More than half of the class,A few times per semester,Somewhat approve,Tinder,Sometimes,Always
Male,Senior,"Grants, covering some costs",No,Heterosexual,White,Physical sciences (incl. math and CS),Yes,No,Domestic,No,Off campus,Somewhat approve,Strongly approve,Extremely effective,Bernie Sanders,"Dormitory party, Off-campus house party, Graduate Center Bar",Typing on a computer,More than half of the class,Once per year,Strongly disapprove,Tinder,Sometimes,Sometimes
Female,Senior,None,No,Heterosexual,White,Humanities/arts,No,No,Domestic,No,On campus,No opinion,Somewhat approve,Somewhat effective,Joe Biden,"Student organization event, Dormitory party, Off-campus house party",Typing on a computer,Half of the class,A few times per semester,Somewhat approve,Hinge,I do not engage in oral or penetrative sexual intercourse,I do not engage in vaginal sexual intercourse
Female,Junior,None,Yes,Heterosexual,Asian,Life sciences,No,No,Domestic,No,On campus,No opinion,Somewhat approve,Extremely effective,Bernie Sanders,"Dormitory party, Off-campus house party, Varsity sports house",Handwriting on paper,More than half of the class,A few times per semester,No opinion,I do not use dating apps,I do not engage in oral or penetrative sexual intercourse,I do not engage in vaginal sexual intercourse
Female,First-year,"Grants, covering some costs",No,Heterosexual,Black,Life sciences,No,Yes,Domestic,No,On campus,Somewhat disapprove,No opinion,Extremely effective,Bernie Sanders,"University-recognized Greek Life, Off-campus/unrecognized Greek Life, Student organization event, Dormitory party, Off-campus house party, Varsity sports house, Providence/downtown bars or clubs, Whiskey Republic",Handwriting on a tablet (e.g. iPad with stylus),Half of the class,A few times per month,Strongly approve,"Bumble, Tinder",I do not engage in oral or penetrative sexual intercourse,I do not engage in vaginal sexual intercourse
Female,First-year,None,No,Heterosexual,White,"Physical sciences (incl. math and CS), Business (BEO or econ)",No,No,Domestic,No,On campus,No opinion,Somewhat approve,Extremely effective,Joe Biden,"University-recognized Greek Life, Off-campus/unrecognized Greek Life, Student organization event, Small Victories (SV) event, Dormitory party, Varsity sports house",Handwriting on paper,More than half of the class,A few times per semester,Somewhat disapprove,I do not use dating apps,Always,Always
Male,First-year,"Grants, covering some costs",No,Heterosexual,White,Humanities/arts,No,No,Domestic,No,On campus,No opinion,No opinion,Somewhat effective,Bernie Sanders,"University-recognized Greek Life, Student organization event, Dormitory party, Off-campus house party",Handwriting on paper,More than half of the class,Once per semester,Somewhat approve,I do not use dating apps,I do not engage in oral or penetrative sexual intercourse,I do not engage in vaginal sexual intercourse
Male,Sophomore,"Grants, covering some costs",No,Heterosexual,White,Physical sciences (incl. math and CS),No,No,Domestic,No,On campus,Somewhat approve,Somewhat approve,Extremely effective,Bernie Sanders,"University-recognized Greek Life, Off-campus/unrecognized Greek Life, Student organization event, Small Victories (SV) event, Dormitory party, Off-campus house party, Varsity sports house, Providence/downtown bars or clubs",Handwriting on paper,Half of the class,A few times per semester,Somewhat disapprove,Tinder,Sometimes,Sometimes
Male,First-year,None,No,Heterosexual,Asian,Humanities/arts,No,No,Domestic,No,On campus,Somewhat approve,Somewhat approve,Somewhat effective,I am unsure,"Student organization event, Dormitory party, Providence/downtown bars or clubs",I do not usually take notes,More than half of the class,Never,Somewhat disapprove,I do not use dating apps,I do not engage in oral or penetrative sexual intercourse,I do not engage in vaginal sexual intercourse
